27.8271	281.89
28.1175	283.039
28.9293	283.946
25.9939	283.654
27.2449	283.309
29.2344	282.082
31.092	283.007
29.9031	283.864
31.0751	281.443
29.9929	282.492
30.8626	281.959
31.385	282.158
31.2042	282.455
29.231	280.473
28.237	269.051
27.129	259.699
28.833	251.677
29.494	243.229
30.46	235.761
29.471	226.807
30.614	220.944
29.793	213.618
28.268	205.363
26.511	197.905
27.503	192.001
25.72	185.469
26.482	179.182
28.752	172.115
28.4	165.427
29.257	156.74
27.222	150.128
27.058	144.721
26.479	138.636
28.057	132.733
27.978	125.376
27.969	118.771
28.908	111.715
27.252	103.922
26.82	97.1509
27.384	88.0521
25.694	77.8205
26.019	69.3573
27.712	56.352
28.343	43.6928
26.13	32.1759
25.462	19.8021
27.679	4.84777
26.402	-10.8321
